i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
108,4088903,-0.00086967,-0.00084459,-0.00206067,-0.00309220,-0.00394914,0.02773597,0.02007326,0.00455286,-0.00966919,1.22397192,-0.06131792
109,4098903,-0.00064928,-0.00086967,-0.00084459,-0.00206067,-0.00309220,-0.06131792,0.02773597,0.02007326,0.00455286,1.16265401,0.01451449
110,4108903,-0.00067995,-0.00064928,-0.00086967,-0.00084459,-0.00206067,0.01451449,-0.06131792,0.02773597,0.02007326,1.17716850,-0.01684584
111,4118903,-0.00048091,-0.00067995,-0.00064928,-0.00086967,-0.00084459,-0.01684584,0.01451449,-0.06131792,0.02773597,1.16032266,0.00514007
112,4128903,0.00048403,-0.00048091,-0.00067995,-0.00064928,-0.00086967,0.00514007,-0.01684584,0.01451449,-0.06131792,1.16546273,0.06219678
113,4138903,0.00179326,0.00048403,-0.00048091,-0.00067995,-0.00064928,0.06219678,0.00514007,-0.01684584,0.01451449,1.22765951,0.05113302
114,4148903,0.00251752,0.00179326,0.00048403,-0.00048091,-0.00067995,0.05113302,0.06219678,0.00514007,-0.01684584,1.27879253,0.00625176
115,4158905,0.00375796,0.00251752,0.00179326,0.00048403,-0.00048091,0.00625176,0.05113302,0.06219678,0.00514007,1.28504429,0.07863739
116,4168903,0.00532732,0.00375796,0.00251752,0.00179326,0.00048403,0.07863739,0.00625176,0.05113302,0.06219678,1.36368168,0.08033449
117,4178903,0.00480710,0.00532732,0.00375796,0.00251752,0.00179326,0.08033449,0.07863739,0.00625176,0.05113302,1.44401617,-0.07820129
118,4188903,0.00400201,0.00480710,0.00532732,0.00375796,0.00251752,-0.07820129,0.08033449,0.07863739,0.00625176,1.36581488,0.00371934
119,4198903,0.00394607,0.00400201,0.00480710,0.00532732,0.00375796,0.00371934,-0.07820129,0.08033449,0.07863739,1.36953422,0.05725316
120,4208903,0.00377915,0.00394607,0.00400201,0.00480710,0.00532732,0.05725316,0.00371934,-0.07820129,0.08033449,1.42678738,0.00236473
121,4218903,0.00365770,0.00377915,0.00394607,0.00400201,0.00480710,0.00236473,0.05725316,0.00371934,-0.07820129,1.42915211,0.02798662
122,4228903,0.00331086,0.00365770,0.00377915,0.00394607,0.00400201,0.02798662,0.00236473,0.05725316,0.00371934,1.45713873,0.00728272
123,4238903,0.00346074,0.00331086,0.00365770,0.00377915,0.00394607,0.00728272,0.02798662,0.00236473,0.05725316,1.46442146,0.04446163
124,4248903,0.00432169,0.00346074,0.00331086,0.00365770,0.00377915,0.04446163,0.00728272,0.02798662,0.00236473,1.50888309,0.07876151
125,4258904,0.00503714,0.00432169,0.00346074,0.00331086,0.00365770,0.07876151,0.04446163,0.00728272,0.02798662,1.58764460,0.03839370
126,4268903,0.00510181,0.00503714,0.00432169,0.00346074,0.00331086,0.03839370,0.07876151,0.04446163,0.00728272,1.62603830,0.00786438
127,4278903,0.00484457,0.00510181,0.00503714,0.00432169,0.00346074,0.00786438,0.03839370,0.07876151,0.04446163,1.63390268,0.01465647
128,4288903,0.00498997,0.00484457,0.00510181,0.00503714,0.00432169,0.01465647,0.00786438,0.03839370,0.07876151,1.64855915,0.05055904
129,4298903,0.00424180,0.00498997,0.00484457,0.00510181,0.00503714,0.05055904,0.01465647,0.00786438,0.03839370,1.69911819,-0.03229113
130,4308903,0.00324600,0.00424180,0.00498997,0.00484457,0.00510181,-0.03229113,0.05055904,0.01465647,0.00786438,1.66682706,-0.00992551
131,4318903,0.00304880,0.00324600,0.00424180,0.00498997,0.00484457,-0.00992551,-0.03229113,0.05055904,0.01465647,1.65690155,0.05367637
132,4328903,0.00372109,0.00304880,0.00324600,0.00424180,0.00498997,0.05367637,-0.00992551,-0.03229113,0.05055904,1.71057792,0.06983875
133,4338903,0.00339575,0.00372109,0.00304880,0.00324600,0.00424180,0.06983875,0.05367637,-0.00992551,-0.03229113,1.78041667,-0.02986177
134,4348903,0.00110397,0.00339575,0.00372109,0.00304880,0.00324600,-0.02986177,0.06983875,0.05367637,-0.00992551,1.75055490,-0.12328998
135,4358904,-0.00046262,0.00110397,0.00339575,0.00372109,0.00304880,-0.12328998,-0.02986177,0.06983875,0.05367637,1.62726493,0.00107576
136,4368903,-0.00070505,-0.00046262,0.00110397,0.00339575,0.00372109,0.00107576,-0.12328998,-0.02986177,0.06983875,1.62834069,0.04120452
137,4378903,-0.00071216,-0.00070505,-0.00046262,0.00110397,0.00339575,0.04120452,0.00107576,-0.12328998,-0.02986177,1.66954521,-0.00312616
138,4388903,-0.00091869,-0.00071216,-0.00070505,-0.00046262,0.00110397,-0.00312616,0.04120452,0.00107576,-0.12328998,1.66641905,-0.01051704
139,4398903,-0.00145087,-0.00091869,-0.00071216,-0.00070505,-0.00046262,-0.01051704,-0.00312616,0.04120452,0.00107576,1.65590201,-0.03095227
140,4408903,-0.00228171,-0.00145087,-0.00091869,-0.00071216,-0.00070505,-0.03095227,-0.01051704,-0.00312616,0.04120452,1.62494974,-0.04730635
141,4418903,-0.00346009,-0.00228171,-0.00145087,-0.00091869,-0.00071216,-0.04730635,-0.03095227,-0.01051704,-0.00312616,1.57764339,-0.06251889
142,4428903,-0.00498479,-0.00346009,-0.00228171,-0.00145087,-0.00091869,-0.06251889,-0.04730635,-0.03095227,-0.01051704,1.51512449,-0.08059782
143,4438903,-0.00580824,-0.00498479,-0.00346009,-0.00228171,-0.00145087,-0.08059782,-0.06251889,-0.04730635,-0.03095227,1.43452668,-0.02365665
144,4448903,-0.00646358,-0.00580824,-0.00498479,-0.00346009,-0.00228171,-0.02365665,-0.08059782,-0.06251889,-0.04730635,1.41087002,-0.04980412
145,4458905,-0.00728785,-0.00646358,-0.00580824,-0.00498479,-0.00346009,-0.04980412,-0.02365665,-0.08059782,-0.06251889,1.36106590,-0.07262975
146,4468903,-0.00814940,-0.00728785,-0.00646358,-0.00580824,-0.00498479,-0.07262975,-0.04980412,-0.02365665,-0.08059782,1.28843615,-0.06706453
147,4478903,-0.00934549,-0.00814940,-0.00728785,-0.00646358,-0.00580824,-0.06706453,-0.07262975,-0.04980412,-0.02365665,1.22137162,-0.10108547
