i,time,raw_accel,raw_gyro,kalman_accel
346,5695372,-0.04175908,49.16845703,-0.05227816
347,5697361,-0.13260791,50.02294922,-0.05117744
348,5699351,-0.15439868,49.71777344,-0.05025224
349,5701372,-0.00025631,48.68017578,-0.04816907
350,5703384,0.07530873,48.68017578,-0.04551556
351,5705374,0.09639882,49.41259766,-0.04273166
352,5707362,-0.07426442,48.00878906,-0.04130687
353,5709351,0.09413350,45.56738281,-0.03867897
354,5711379,0.07093583,44.83496094,-0.03627344
355,5713390,0.05338146,43.49218750,-0.03404650
356,5715379,0.01338020,41.72216797,-0.03222990
357,5717368,0.02159834,40.31835938,-0.03041665
358,5719357,0.09153560,39.03662109,-0.02812724
359,5721377,0.10798239,38.12109375,-0.02575368
360,5723389,-0.06829400,37.38867188,-0.02476068
361,5725378,-0.08445313,35.25244141,-0.02398375
362,5727367,0.14118479,34.27587891,-0.02153034
363,5729356,0.15674239,34.58105469,-0.01897746
364,5731357,-0.00685321,33.72656250,-0.01771183
365,5733366,-0.09518377,31.52929688,-0.01718572
366,5735355,-0.01275498,30.55273438,-0.01608966
367,5737345,0.05817469,30.12548828,-0.01447935
368,5739335,-0.06707170,30.85791016,-0.01382462
369,5741364,-0.05382355,30.00341797,-0.01307918
370,5743377,-0.03918417,29.08789062,-0.01224739
371,5745366,-0.10436512,29.88134766,-0.01192881
372,5747355,-0.22552790,31.34619141,-0.01249612
373,5749345,-0.16567047,31.46826172,-0.01258505
374,5751346,-0.11553515,32.26171875,-0.01226434
375,5753354,-0.18681378,34.70312500,-0.01241175
376,5755343,-0.10442466,36.96142578,-0.01186161
377,5757332,-0.21447538,39.21972656,-0.01208032
378,5759332,-0.14568419,38.54833984,-0.01176648
379,5761413,0.05376880,39.46386719,-0.00987478
380,5763443,-0.12959369,42.08837891,-0.00931017
381,5765437,-0.12949246,40.86767578,-0.00880340
382,5767432,-0.08411498,40.56250000,-0.00797614
383,5769422,-0.15904921,41.47802734,-0.00770911
384,5771429,-0.53162935,42.88183594,-0.01024550
385,5773448,-0.87983167,44.71289062,-0.01535080
386,5775454,-0.96626813,51.24365234,-0.02090611
387,5777452,-1.03756332,58.99511719,-0.02670734
388,5779452,-0.97707943,69.55419922,-0.03166412
389,5781467,-0.89848034,78.95361328,-0.03563511
390,5783487,-0.80927820,88.78027344,-0.03852865
391,5785487,-0.84207414,96.95898438,-0.04138780
392,5787486,-0.70173452,102.87939453,-0.04292928
393,5789487,-0.69170497,105.25976562,-0.04427021
394,5791600,-0.53479731,104.16113281,-0.04430371
395,5793608,-0.40576534,104.83251953,-0.04332046
396,5795601,-0.57370931,104.83251953,-0.04376359
397,5797594,-0.56521063,103.12353516,-0.04417844
398,5799584,-0.18898655,100.07177734,-0.04180912
399,5801838,-0.18175337,100.92626953,-0.03917893
