i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
163,4638914,0.12832674,0.11442941,0.10367286,0.08714113,0.06796240,0.70317913,0.88647135,1.16324025,0.74205233,-4.36982450,1.28620050
164,4648914,0.14141052,0.12832674,0.11442941,0.10367286,0.08714113,1.28620050,0.70317913,0.88647135,1.16324025,-3.08362399,1.10958933
165,4658918,0.15176835,0.14141052,0.12832674,0.11442941,0.10367286,1.10958933,1.28620050,0.70317913,0.88647135,-1.97403466,1.04518304
166,4668914,0.15869387,0.15176835,0.14141052,0.12832674,0.11442941,1.04518304,1.10958933,1.28620050,0.70317913,-0.92885162,1.04139864
167,4678914,0.16557187,0.15869387,0.15176835,0.14141052,0.12832674,1.04139864,1.04518304,1.10958933,1.28620050,0.11254702,1.18634421
168,4688914,0.18236377,0.16557187,0.15869387,0.15176835,0.14141052,1.18634421,1.04139864,1.04518304,1.10958933,1.29889123,1.95245966
169,4698914,0.19512288,0.18236377,0.16557187,0.15869387,0.15176835,1.95245966,1.18634421,1.04139864,1.04518304,3.25135089,1.31005541
170,4708914,0.20408580,0.19512288,0.18236377,0.16557187,0.15869387,1.31005541,1.95245966,1.18634421,1.04139864,4.56140631,1.33549649
171,4718917,0.21619538,0.20408580,0.19512288,0.18236377,0.16557187,1.33549649,1.31005541,1.95245966,1.18634421,5.89690280,1.83302519
172,4728914,0.21170145,0.21619538,0.20408580,0.19512288,0.18236377,1.83302519,1.33549649,1.31005541,1.95245966,7.72992799,0.45405362
173,4738914,0.19527558,0.21170145,0.21619538,0.20408580,0.19512288,0.45405362,1.83302519,1.33549649,1.31005541,8.18398161,0.38313831
174,4748919,0.18697894,0.19527558,0.21170145,0.21619538,0.20408580,0.38313831,0.45405362,1.83302519,1.33549649,8.56711991,1.42444149
175,4758919,0.17494409,0.18697894,0.19527558,0.21170145,0.21619538,1.42444149,0.38313831,0.45405362,1.83302519,9.99156141,0.57176891
