i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
100,4008840,1.17000731,1.16458832,1.15924173,1.15253595,1.14470464,0.00000000,0.00000000,0.00000000,0.01150529,10.79176617,1.44680867
101,4018840,1.17490260,1.17000731,1.16458832,1.15924173,1.15253595,0.00000000,0.00000000,0.00000000,0.00000000,10.79176617,1.44821122
102,4028840,1.18036712,1.17490260,1.17000731,1.16458832,1.15924173,0.00000000,0.00000000,0.00000000,0.00000000,10.79176617,1.45484934
103,4038840,1.18626386,1.18036712,1.17490260,1.17000731,1.16458832,0.00000000,0.00000000,0.00000000,0.00000000,10.79176617,1.45910175
104,4048840,1.18992854,1.18626386,1.18036712,1.17490260,1.17000731,0.00000000,0.00000000,0.00000000,0.00000000,10.79176617,1.45315828
105,4058840,1.19089352,1.18992854,1.18626386,1.18036712,1.17490260,0.00000000,0.00000000,0.00000000,0.00000000,10.79176617,1.44922079
106,4068840,1.19125404,1.19089352,1.18992854,1.18626386,1.18036712,0.00000000,0.00000000,0.00000000,0.00000000,10.79176617,1.45287998
107,4078842,1.19120661,1.19125404,1.19089352,1.18992854,1.18626386,-0.04094555,0.00000000,0.00000000,0.00000000,10.75082063,1.45019892
108,4088846,1.19181502,1.19120661,1.19125404,1.19089352,1.18992854,0.00000000,-0.04094555,0.00000000,0.00000000,10.75082063,1.45358331
109,4098840,1.19138623,1.19181502,1.19120661,1.19125404,1.19089352,0.00000000,0.00000000,-0.04094555,0.00000000,10.75082063,1.44837857
110,4108840,1.19036443,1.19138623,1.19181502,1.19120661,1.19125404,0.00000000,0.00000000,0.00000000,-0.04094555,10.75082063,1.44809125
111,4118840,1.18754650,1.19036443,1.19138623,1.19181502,1.19120661,0.00000000,0.00000000,0.00000000,0.00000000,10.75082063,1.44120064
112,4128840,1.18329404,1.18754650,1.19036443,1.19138623,1.19181502,0.00000000,0.00000000,0.00000000,0.00000000,10.75082063,1.43714932
