n,time,theta,dUtheta,dUu,dU,U,battery_voltage,PWM
147,6396635,0.00910021,-0.57029434,-0.05242491,-0.62271925,-0.07947343,14.83853588,-23.92064461
148,6416633,-0.02876472,-2.81378807,0.00766943,-2.80611864,-2.88559207,14.83853588,-42.83166564
149,6436634,-0.04604863,-0.68382505,0.27846860,-0.40535645,-3.29094852,14.83853588,-45.56344762
150,6456635,-0.03036132,2.83139082,0.31758676,3.14897758,-0.14197095,14.83853588,-24.34182843
151,6476634,-0.00397133,0.66134501,0.01370064,0.67504564,0.53307470,14.86095598,26.93685860
152,6496634,0.03962110,3.69247778,-0.05144337,3.64103442,4.17410911,14.86095598,51.43753287
153,6516634,0.04676718,-1.07941572,-0.40281450,-1.48223022,2.69187890,14.86095598,41.46354318
154,6536635,0.02382623,-2.84227227,-0.25977468,-3.10204695,-0.41016805,14.86095598,-26.10981460
155,6556634,-0.03315679,-4.10501215,0.03958249,-4.06542966,-4.47559771,14.86095598,-53.46626235
156,6576634,-0.02693576,4.84102246,0.43190909,5.27293155,0.79733384,14.78413966,28.86426899
157,6596634,0.00972809,2.63174403,-0.07694519,2.55479884,3.35213268,14.78413966,46.14494205
158,6616634,0.03194585,-1.62151105,-0.32349122,-1.94500227,1.40713041,14.78413966,32.98893627
159,6636634,-0.00339882,-4.09454995,-0.13579246,-4.23034241,-2.82321200,14.78413966,-42.56731975
160,6656635,-0.04956010,-2.26401594,0.27244873,-1.99156720,-4.81477920,14.78413966,-56.03829102
161,6676635,-0.05912215,1.18851473,0.46464116,1.65315589,-3.16162332,14.69464515,-45.12952339
162,6696635,-0.03613139,1.43438665,0.30510648,1.73949312,-1.42213020,14.69464515,-33.29192469
163,6716634,0.00529920,2.54808662,0.13723998,2.68532660,1.26319641,14.69464515,32.21034846
164,6736634,0.02587576,0.03384156,-0.12190238,-0.08806082,1.17513559,14.69464515,31.61107698
165,6756634,0.03640756,0.83607313,-0.11340424,0.72266890,1.89780449,14.69464515,36.52898339
166,6776634,0.01820630,-1.92090247,-0.18314403,-2.10404650,-0.20624202,14.84139178,-24.77019723
167,6796635,-0.01560662,-2.89247126,0.01990300,-2.87256827,-3.07881029,14.84139178,-44.12531102
168,6816635,-0.04126660,-0.49444642,0.29711476,-0.19733166,-3.27614194,14.84139178,-45.45491447
169,6836634,-0.02485248,3.06978041,0.31615788,3.38593829,0.10979635,14.84139178,24.12035475
170,6856633,0.02693454,4.19978345,-0.01059569,4.18918776,4.29898411,14.84139178,52.34673554
171,6876634,0.03343257,-3.39143061,-0.41486533,-3.80629593,0.49268817,14.69196051,26.97181340
172,6896635,0.00752941,-2.07454238,-0.04754594,-2.12208832,-1.62940014,14.69196051,-34.70877927
173,6916634,-0.04475065,-3.24595668,0.15724218,-3.08871450,-4.71811464,14.69196051,-55.73194017
174,6936634,-0.04758692,2.03057906,0.45531273,2.48589178,-2.23222286,14.69196051,-38.81185805
175,6956635,-0.02621111,1.60151326,0.21541644,1.81692971,-0.41529315,14.69196051,-26.44502856
176,6976638,0.01839729,2.80056291,0.04007708,2.84063999,2.42534684,14.86095598,39.67003769
177,6996634,0.03661106,-0.06776422,-0.23405351,-0.30181773,2.12352911,14.86095598,37.63909344
178,7016634,0.05270260,1.98831568,-0.20492716,1.78338853,3.90691763,14.86095598,49.63959010
179,7036635,0.03495322,-2.13651340,-0.37702969,-2.51354310,1.39337453,14.86095598,32.72585251
180,7056635,0.01113825,-1.38479750,-0.13446497,-1.51926247,-0.12588794,14.86095598,-24.19688172
181,7076635,-0.03156887,-3.06253314,0.01214858,-3.05038456,-3.17627251,14.87296312,-44.68694269
182,7096635,-0.03209264,2.24616929,0.30652017,2.55268946,-0.62358305,14.87296312,-27.52365493
183,7116635,-0.01445723,1.30364117,0.06017770,1.36381887,0.74023582,14.87296312,28.30798268
184,7136634,0.03022478,3.29554144,-0.07143506,3.22410639,3.96434221,14.87296312,49.98561585
185,7156634,0.04264035,-0.76335647,-0.38257134,-1.14592781,2.81841440,14.87296312,42.28084442
186,7176635,0.01909308,-3.16438617,-0.27198575,-3.43637191,-0.61795752,14.85708656,-27.51520293
187,7196635,-0.02487963,-2.44100238,0.05963482,-2.38136756,-2.99932508,14.85708656,-43.54369917
188,7216635,-0.02942330,2.36418261,0.28944419,2.65362680,-0.34569827,14.85708656,-25.68268185
189,7236634,-0.00528202,1.78415969,0.03336096,1.81752065,1.47182237,14.85708656,33.26239201
190,7256634,0.04580725,4.00816618,-0.14203543,3.86613075,5.33795312,14.85708656,59.28452450
191,7276633,0.05500212,-1.56080617,-0.51512907,-2.07593523,3.26201789,14.68245639,45.85076034
192,7296635,0.03004607,-2.69331246,-0.31479486,-3.00810733,0.25391056,14.68245639,25.36299421
193,7316634,-0.01070935,-1.51556442,-0.02450316,-1.54006758,-1.28615702,14.68245639,-32.39346939
194,7336635,-0.03060689,-0.32923411,0.12411815,-0.20511596,-1.49127297,14.68245639,-33.79048330
195,7356634,-0.04512865,-2.00879052,0.14391248,-1.86487805,-3.35615102,14.68245639,-46.49188692
196,7376634,-0.02736023,2.63240811,0.32387900,2.95628711,-0.39986391,14.77819398,-26.18631152
197,7396635,-0.00656382,0.80379090,0.03858811,0.84237901,0.44251510,14.77819398,26.47492044
198,7416634,0.04989188,5.30559831,-0.04270408,5.26289423,5.70540933,14.77819398,62.08748742
199,7436634,0.05895139,-1.95063719,-0.55058973,-2.50122693,3.20418240,14.77819398,45.16236836
