i,time,raw_accel,raw_gyro,kalman_accel
321,4102771,-0.86554845,-162.62353516,0.06380601
322,4104769,-0.95629655,-153.40722656,0.05054662
323,4106766,-0.83499521,-145.16748047,0.03870922
324,4108773,-0.80115858,-128.07763672,0.02784123
325,4110769,-0.85019834,-115.26025391,0.01705691
326,4112766,-1.03435917,-95.85107422,0.00000000
327,4114770,-1.10959528,-73.32910156,0.00000000
328,4116766,-0.86086784,-55.62890625,-0.01450259
329,4118774,-0.76721266,-31.82519531,-0.02138415
330,4120771,-0.79494949,-6.19042969,-0.02757092
331,4122768,-0.82723804,14.25634766,-0.03329108
332,4124771,-0.59149112,32.99414062,-0.03630996
333,4126764,-0.22798373,42.33251953,-0.03587190
334,4128767,-0.01903081,52.22021484,-0.03332259
335,4130765,-0.26195666,56.24853516,-0.03272132
336,4132764,-0.21789288,57.22509766,-0.03172499
337,4134763,0.02369210,60.21582031,-0.02857103
338,4136762,0.18742156,63.14550781,-0.02394463
339,4138759,-0.04880794,65.34277344,-0.02129406
340,4140759,-0.27073652,66.13623047,-0.02053632
341,4142759,-0.05971681,68.39453125,-0.01790800
342,4144759,0.05410221,70.22558594,-0.01426738
343,4146759,-0.00499824,69.85937500,-0.01117461
344,4148761,-0.31650088,70.22558594,-0.01074969
345,4150761,-0.47292551,71.62939453,-0.01161277
346,4152758,-0.31330012,72.05664062,-0.01110556
347,4154759,-0.14858155,71.20214844,0.00000000
348,4156759,-0.05633508,71.75146484,0.00000000
349,4158767,-0.09187347,73.21630859,0.00000000
350,4160804,0.06395958,72.48388672,0.00000000
351,4162844,0.09903451,70.46972656,0.00000000
352,4164827,0.22713701,66.31933594,0.00000000
353,4166812,0.21370608,60.58203125,0.01259774
354,4168796,0.32729102,54.84472656,0.01773077
355,4170793,0.44903233,49.10742188,0.02365996
356,4172783,0.57826517,41.72216797,0.03040175
357,4174779,0.66156373,33.54345703,0.03751285
358,4176775,0.70652908,25.12060547,0.04466895
359,4178771,0.83457281,15.11083984,0.05251511
360,4180768,0.80132474,4.30761719,0.05965366
361,4182770,0.83243661,-7.96044922,0.06658384
362,4184767,0.72720075,-18.09228516,0.07222900
363,4186769,0.65676314,-28.22412109,0.07689193
364,4188766,0.61102464,-36.52490234,0.08085070
365,4190769,0.51579399,-43.29980469,0.08374827
366,4192765,0.43543624,-48.97607422,0.08575130
367,4194767,0.60982043,-53.37060547,0.08906631
368,4196769,0.66596296,-58.43652344,0.09265705
369,4198766,0.80062421,-66.43212891,0.09708607
370,4200768,0.77706106,-73.02392578,0.10106782
371,4202765,0.79326052,-84.62060547,0.10475618
372,4204768,0.71144662,-94.87451172,0.10738932
373,4206770,0.51227470,-108.66845703,0.10784852
374,4208766,0.45910093,-122.64550781,0.10738112
375,4210764,0.14756539,-134.18115234,0.10391293
376,4212763,-0.34857304,-141.62744141,0.09604114
377,4214762,-0.40264270,-149.25683594,0.08751032
378,4216761,-0.51067201,-152.73583984,0.07801531
379,4218761,-0.54700851,-155.36035156,0.06819234
380,4220761,-0.64371711,-155.11621094,0.05763592
381,4222761,-0.67744182,-155.60449219,0.04685907
382,4224762,-0.63832919,-154.01757812,0.03654387
383,4226762,-0.57341422,-151.02685547,0.02694972
384,4228764,-0.51343245,-148.15820312,0.01802828
385,4230766,-0.74243497,-144.61816406,0.00000000
386,4232769,-0.77535382,-140.10156250,0.00000000
387,4234767,-1.02808623,-135.76806641,-0.01591551
388,4236769,-0.87903160,-129.90869141,-0.02695685
389,4238770,-0.93476499,-115.26025391,-0.03788691
390,4240767,-0.89002853,-102.93115234,-0.04793786
